seed,tss_subset,overall_bal,tss_avg_bal,mcc
0,"['63', '66', '21', '51', '71']",0.753642490372272,0.7701599451127142,0.5178506355158922
1,"['38', '78', '33', '51', '37']",0.7004787120239624,0.7188007096272907,0.4085570229771315
2,"['22', '34', '62', '43', '91']",0.8154391313649978,0.8344937455624598,0.6250911700147804
3,"['50', '79', '75', '38', '62']",0.6009547496790758,0.6238458086881012,0.35393111407530636
4,"['50', '55', '35', '64', '6A']",0.5190227856225931,0.4864339464678662,0.09189353071475131
